Molecule,1H Shift (delta) (ppm),Multiplicity,J constant (Hz),Biologic origin,Source,Author
β-Glucose,-3.831,,,Control kidney and liver intact tissue,1H NMR Spectroscopic Analysis of Hepatic Bile and Liver Tissue from Liver Transplant Donors,Roxanne Ferdinand
Leucine,0.166,Multiplet,,Control kidney and liver intact tissue,1H NMR Spectroscopic Analysis of Hepatic Bile and Liver Tissue from Liver Transplant Donors,Roxanne Ferdinand
Cholesterol C18,0.59,Multiplet,,Caenorhabditis elegans,Supplementary Table Assignment of resonances in the 700MHz 1H HRMAS NMR Spectrum of C.elegans.,Unknown
HDL,0.66,Multiplet,,Mouse,An NMR-based Metabonomic Approach to Investigate Paraquat and Maneb-induced Parkinson's Disease in the Mutant α-syniclein Transgenic Mouse Model,Gillian Hung
Glycolithocholic acid,0.668,,,Human bile acids,1H NMR Spectroscopic Analysis of Hepatic Bile and Liver Tissue from Liver Transplant Donors,Roxanne Ferdinand
Lithocholic acid,0.67,,,Human bile acids,1H NMR Spectroscopic Analysis of Hepatic Bile and Liver Tissue from Liver Transplant Donors,Roxanne Ferdinand
HDL,0.67,Multiplet,,Mouse,An NMR-based Metabonomic Approach to Investigate Paraquat and Maneb-induced Parkinson's Disease in the Mutant α-syniclein Transgenic Mouse Model,Gillian Hung
Cholesterol C18,0.67,Multiplet,,Caenorhabditis elegans,Supplementary Table Assignment of resonances in the 700MHz 1H HRMAS NMR Spectrum of C.elegans.,Unknown
Taurolithocholic acid,0.685,,,Human bile acids,1H NMR Spectroscopic Analysis of Hepatic Bile and Liver Tissue from Liver Transplant Donors,Roxanne Ferdinand
Taurochenodeoxycholic acid,0.691,,,Human bile acids,1H NMR Spectroscopic Analysis of Hepatic Bile and Liver Tissue from Liver Transplant Donors,Roxanne Ferdinand
Ursodeoxycholic acid,0.694,,,Human bile acids,1H NMR Spectroscopic Analysis of Hepatic Bile and Liver Tissue from Liver Transplant Donors,Roxanne Ferdinand
Glycochenodeoxycholic acid,0.694,,,Human bile acids,1H NMR Spectroscopic Analysis of Hepatic Bile and Liver Tissue from Liver Transplant Donors,Roxanne Ferdinand
Taurodeoxycholic acid,0.707,,,Human bile acids,1H NMR Spectroscopic Analysis of Hepatic Bile and Liver Tissue from Liver Transplant Donors,Roxanne Ferdinand
