,,,,,,,,,
MoleculeName,Shift,Moiety,Multiplicity,RelativeIntegral,Other peaks,Urine,Plasma,Feces,Tissue
"1,3,7,-Trimethylurate",3.22,,singlet,,"3.22(s), 3.34(s), 3.44(s)",,,,
"1,3,7,-Trimethylurate",3.34,,singlet,,"3.22(s), 3.34(s), 3.44(s)",,,,
"1,3,7,-Trimethylurate",3.39,,singlet,,"3.22(s), 3.34(s), 3.44(s)",,,,
"1,3-dimethylurate",3.31,,singlet,,"3.31(s), 3.44(s)",,,,
"1,3-dimethylurate",3.44,,singlet,,"3.31(s), 3.44(s)",,,,
"1,9-dimethylurate",3.21,,singlet,,"3.21(s), 3.29(s)",,,,
"1,9-dimethylurate",3.29,,singlet,,"3.21(s), 3.29(s)",,,,
1-methyladenine,3.90,N-CH3,singlet,,"3.90(s), 8.28(s), 8.40(s)",,,,
1-methyladenine,8.28,,singlet,,"3.90(s), 8.28(s), 8.40(s)",,,,
1-methyladenine,8.40,,singlet,,"3.90(s), 8.28(s), 8.40(s)",,,,
1-methyladenosine,3.84,N-CH3,singlet,,"3.84(s), 3.87(t), 3.91(t), 3.93(t), 4.28(m), 4.46(t), 4.76(t), 6.01(d), 6.09(d), 8.14(s), 8.25(s), 8.40(s), 8.46(s)",,,,
1-methyladenosine,3.87,,triplet,,"3.84(s), 3.87(t), 3.91(t), 3.93(t), 4.28(m), 4.46(t), 4.76(t), 6.01(d), 6.09(d), 8.14(s), 8.25(s), 8.40(s), 8.46(s)",,,,
1-methyladenosine,3.91,,triplet,,"3.84(s), 3.87(t), 3.91(t), 3.93(t), 4.28(m), 4.46(t), 4.76(t), 6.01(d), 6.09(d), 8.14(s), 8.25(s), 8.40(s), 8.46(s)",,,,
1-methyladenosine,3.93,,triplet,,"3.84(s), 3.87(t), 3.91(t), 3.93(t), 4.28(m), 4.46(t), 4.76(t), 6.01(d), 6.09(d), 8.14(s), 8.25(s), 8.40(s), 8.46(s)",,,,
1-methyladenosine,4.28,,multiplet,,"3.84(s), 3.87(t), 3.91(t), 3.93(t), 4.28(m), 4.46(t), 4.76(t), 6.01(d), 6.09(d), 8.14(s), 8.25(s), 8.40(s), 8.46(s)",,,,
1-methyladenosine,4.46,,triplet,,"3.84(s), 3.87(t), 3.91(t), 3.93(t), 4.28(m), 4.46(t), 4.76(t), 6.01(d), 6.09(d), 8.14(s), 8.25(s), 8.40(s), 8.46(s)",,,,
1-methyladenosine,4.76,,triplet,,"3.84(s), 3.87(t), 3.91(t), 3.93(t), 4.28(m), 4.46(t), 4.76(t), 6.01(d), 6.09(d), 8.14(s), 8.25(s), 8.40(s), 8.46(s)",,,,
1-methyladenosine,6.01,,doublet,,"3.84(s), 3.87(t), 3.91(t), 3.93(t), 4.28(m), 4.46(t), 4.76(t), 6.01(d), 6.09(d), 8.14(s), 8.25(s), 8.40(s), 8.46(s)",,,,
1-methyladenosine,6.09,,doublet,,"3.84(s), 3.87(t), 3.91(t), 3.93(t), 4.28(m), 4.46(t), 4.76(t), 6.01(d), 6.09(d), 8.14(s), 8.25(s), 8.40(s), 8.46(s)",,,,
1-methyladenosine,8.14,,singlet,,"3.84(s), 3.87(t), 3.91(t), 3.93(t), 4.28(m), 4.46(t), 4.76(t), 6.01(d), 6.09(d), 8.14(s), 8.25(s), 8.40(s), 8.46(s)",,,,
1-methyladenosine,8.25,,singlet,,"3.84(s), 3.87(t), 3.91(t), 3.93(t), 4.28(m), 4.46(t), 4.76(t), 6.01(d), 6.09(d), 8.14(s), 8.25(s), 8.40(s), 8.46(s)",,,,
1-methyladenosine,8.4,,singlet,,"3.84(s), 3.87(t), 3.91(t), 3.93(t), 4.28(m), 4.46(t), 4.76(t), 6.01(d), 6.09(d), 8.14(s), 8.25(s), 8.40(s), 8.46(s)",,,,
1-methyladenosine,8.46,,singlet,,"3.84(s), 3.87(t), 3.91(t), 3.93(t), 4.28(m), 4.46(t), 4.76(t), 6.01(d), 6.09(d), 8.14(s), 8.25(s), 8.40(s), 8.46(s)",,,,
1-methylguanosine,3.45,N-CH3,singlet,,"3.45(s), 3.82(m), 3.88(m), 4.22(q), 4.42(d), 4.74(t), 5.89(d), 7.99(s)",,,,
1-methylguanosine,3.82,,multiplet,,"3.45(s), 3.82(m), 3.88(m), 4.22(q), 4.42(d), 4.74(t), 5.89(d), 7.99(s)",,,,
1-methylguanosine,3.88,,multiplet,,"3.45(s), 3.82(m), 3.88(m), 4.22(q), 4.42(d), 4.74(t), 5.89(d), 7.99(s)",,,,
1-methylguanosine,4.22,,quartet,,"3.45(s), 3.82(m), 3.88(m), 4.22(q), 4.42(d), 4.74(t), 5.89(d), 7.99(s)",,,,
1-methylguanosine,4.42,,doublet,,"3.45(s), 3.82(m), 3.88(m), 4.22(q), 4.42(d), 4.74(t), 5.89(d), 7.99(s)",,,,
1-methylguanosine,4.74,,tripet,,"3.45(s), 3.82(m), 3.88(m), 4.22(q), 4.42(d), 4.74(t), 5.89(d), 7.99(s)",,,,
1-methylguanosine,5.89,,doublet,,"3.45(s), 3.82(m), 3.88(m), 4.22(q), 4.42(d), 4.74(t), 5.89(d), 7.99(s)",,,,
1-methylguanosine,7.99,,singlet,,"3.45(s), 3.82(m), 3.88(m), 4.22(q), 4.42(d), 4.74(t), 5.89(d), 7.99(s)",,,,
1-Methylhistidine,3.26,βCH',dd,,"3.26(dd), 3.33(dd), 3.76(s), 3.98(dd), 7.19(s), 8.17(s)",,,,
1-Methylhistidine,3.33,βCH,doublet of doublets,,"3.26(dd), 3.33(dd), 3.76(s), 3.98(dd), 7.19(s), 8.17(s)",,,,
1-Methylhistidine,3.76,CH3-N,singlet,,"3.26(dd), 3.33(dd), 3.76(s), 3.98(dd), 7.19(s), 8.17(s)",,,,
1-Methylhistidine,3.98,αCH,doublet of doublets,,"3.26(dd), 3.33(dd), 3.76(s), 3.98(dd), 7.19(s), 8.17(s)",,,,
1-Methylhistidine,7.19,H4-ring,singlet,,"3.26(dd), 3.33(dd), 3.76(s), 3.98(dd), 7.19(s), 8.17(s)",,,,
1-Methylhistidine,8.17,H2-ring,singlet,,"3.26(dd), 3.33(dd), 3.76(s), 3.98(dd), 7.19(s), 8.17(s)",,,,
1-Methylinosine,3.63,,singlet,,"3.63(s), 3.75(dd), 3.86(dd), 4.13(q), 4.32(dd), 4.61(t), 5.99(d), 8.31(s), 8.32(s)",,,,
1-Methylinosine,3.75,,doublet of doublets,,"3.63(s), 3.75(dd), 3.86(dd), 4.13(q), 4.32(dd), 4.61(t), 5.99(d), 8.31(s), 8.32(s)",,,,
1-Methylinosine,3.86,,doublet of doublets,,"3.63(s), 3.75(dd), 3.86(dd), 4.13(q), 4.32(dd), 4.61(t), 5.99(d), 8.31(s), 8.32(s)",,,,
1-Methylinosine,4.13,,quartet,,"3.63(s), 3.75(dd), 3.86(dd), 4.13(q), 4.32(dd), 4.61(t), 5.99(d), 8.31(s), 8.32(s)",,,,
1-Methylinosine,4.32,,doublet of doublets,,"3.63(s), 3.75(dd), 3.86(dd), 4.13(q), 4.32(dd), 4.61(t), 5.99(d), 8.31(s), 8.32(s)",,,,
1-Methylinosine,4.61,,triplet,,"3.63(s), 3.75(dd), 3.86(dd), 4.13(q), 4.32(dd), 4.61(t), 5.99(d), 8.31(s), 8.32(s)",,,,
1-Methylinosine,5.99,,doublet,,"3.63(s), 3.75(dd), 3.86(dd), 4.13(q), 4.32(dd), 4.61(t), 5.99(d), 8.31(s), 8.32(s)",,,,
1-Methylinosine,8.31,,singlet,,"3.63(s), 3.75(dd), 3.86(dd), 4.13(q), 4.32(dd), 4.61(t), 5.99(d), 8.31(s), 8.32(s)",,,,
1-Methylinosine,8.32,,singlet,,"3.63(s), 3.75(dd), 3.86(dd), 4.13(q), 4.32(dd), 4.61(t), 5.99(d), 8.31(s), 8.32(s)",,,,
1-Methyl-L-histidine,3.06,CH2(ii),2xd,0.13,"3.06(dd), 3.17(dd) 3.69(s), 3.97(dd), 7.0(s), 7.67(s)",,,,
1-Methyl-L-histidine,3.17,CH2(I),2xd,0.13,"3.06(dd), 3.17(dd) 3.69(s), 3.97(dd), 7.0(s), 7.67(s)",,,,
1-Methyl-L-histidine,3.69,CH3,singlet,1,"3.06(dd), 3.17(dd) 3.69(s), 3.97(dd), 7.0(s), 7.67(s)",,,,
