Compound,Mid,M,Pid,t2,t2_delta,t1,t1_delta,Int,Int_delta
Hippuric Acid,A,d,1,3.9705,0.015,3,0.2,1,0.1
Hippuric Acid,A,d,-1,3.9705,0.015,-3,0.2,1,0.1
Hippuric Acid,B,t,2,7.5584,0.015,8,0.2,0.32,0.1
Hippuric Acid,B,t,1,7.5584,0.015,0,0.2,0.36,0.1
Hippuric Acid,B,t,-2,7.5584,0.015,-8,0.2,0.32,0.1
Hippuric Acid,C,d,1,7.83901,0.015,5.5,0.2,0.25,0.1
Hippuric Acid,C,d,-1,7.83901,0.015,-5.5,0.2,0.24,0.1
Hippuric Acid,D,s,1,3.9678,0.015,0,0.2,0.2,0.1
Hippuric Acid,E,d,1,7.8424,0.015,4.3,0.2,0.19,0.1
Hippuric Acid,E,d,-1,7.8424,0.015,-4.3,0.2,0.18,0.1
Hippuric Acid,F,d,1,7.8411,0.015,2.5,0.2,0.19,0.1
Hippuric Acid,F,d,-1,7.8411,0.015,-2.5,0.2,0.18,0.1
